arxiv_id,year_group,model_name,n_words,n_files,n_citations,cit_per_100_words,word_stratum,log_perplexity,perplexity,burstiness_std,burstiness_cv,n_sentences_scored,n_tokens_scored
1609.05935,2015,Qwen/Qwen2.5-0.5B,221,1,7,3.167420814479638,0,3.097742679345347,22.147899899784907,0.5693921056620184,0.1305984570971127,10,274
1804.07270,2015,Qwen/Qwen2.5-0.5B,263,1,8,3.041825095057034,0,3.011050322561553,20.308719433317894,1.130935366380508,0.2437583954196285,13,330
1804.09325,2015,Qwen/Qwen2.5-0.5B,259,1,0,0.0,0,2.484333321261589,11.993122029539798,0.8394676105024735,0.2116212419799249,16,391
1805.01825,2015,Qwen/Qwen2.5-0.5B,198,1,6,3.0303030303030303,0,3.836647894149436,46.36977722728023,1.077818754175133,0.2165467423072322,11,266
1901.00889,2015,Qwen/Qwen2.5-0.5B,252,1,9,3.571428571428571,0,3.0596321035095784,21.31971227174001,0.9396423081804696,0.1840124189897236,13,323
1902.03833,2015,Qwen/Qwen2.5-0.5B,267,1,4,1.49812734082397,0,2.5706666569724725,13.074537767976617,0.8540480070801557,0.2155410161493396,15,319
1903.02252,2015,Qwen/Qwen2.5-0.5B,221,1,9,4.072398190045249,0,2.846234630435387,17.222809352465134,1.338289166122816,0.2931191917892206,14,281
1904.04555,2015,Qwen/Qwen2.5-0.5B,252,1,16,6.349206349206349,0,3.2420234312198555,25.585439783392943,0.5482504910501613,0.1236038912331366,10,311
1909.10466,2015,Qwen/Qwen2.5-0.5B,210,1,6,2.857142857142857,0,3.0959182849033278,22.107530230602627,0.81307859787301,0.1819832263789947,12,278
1910.07969,2015,Qwen/Qwen2.5-0.5B,247,1,13,5.263157894736842,0,3.241083233173077,25.5613957077503,1.2149186437104094,0.2550110919138291,11,325
1912.09009,2015,Qwen/Qwen2.5-0.5B,157,1,6,3.821656050955414,0,3.26039981842041,26.059954309659965,1.2014900150022785,0.2669721313812947,6,192
2001.09415,2015,Qwen/Qwen2.5-0.5B,248,1,7,2.82258064516129,0,3.4416094380040323,31.23719205733739,0.816496863390948,0.1617278206563572,12,310
2002.03306,2015,Qwen/Qwen2.5-0.5B,150,1,3,2.0,0,3.491332033847241,32.8296487974952,1.0523526602652422,0.2330831563481966,8,188
2005.01399,2015,Qwen/Qwen2.5-0.5B,239,1,13,5.439330543933055,0,2.918591346860305,18.515187604090364,0.5870025188234844,0.1409037154381812,11,319
2006.14221,2015,Qwen/Qwen2.5-0.5B,181,1,4,2.209944751381215,0,2.970332484091482,19.498401426702323,0.8448114261560516,0.2217099743093837,6,248
2007.10529,2015,Qwen/Qwen2.5-0.5B,167,1,4,2.395209580838324,0,4.270670572916667,71.56961217511291,0.7921546273152096,0.1533034028511888,8,195
2007.14390,2015,Qwen/Qwen2.5-0.5B,269,1,8,2.973977695167286,0,3.4754615763237267,32.312739890670215,0.7709812422958597,0.1698316431387871,13,373
2008.05823,2015,Qwen/Qwen2.5-0.5B,261,1,8,3.065134099616858,0,3.476260414606408,32.33856285712707,0.98614065510966,0.179562312267128,16,316
2009.05169,2015,Qwen/Qwen2.5-0.5B,198,1,4,2.0202020202020203,0,3.645650963227912,38.30770164192945,0.6635734076528123,0.1382830763370381,8,249
2009.09841,2015,Qwen/Qwen2.5-0.5B,156,1,4,2.564102564102564,0,3.31977733667346,27.654192298482904,0.8021961810662112,0.1804012383175599,7,207
2010.00827,2015,Qwen/Qwen2.5-0.5B,185,1,10,5.405405405405405,0,3.0185329271399457,20.46125150724772,0.9819573951979078,0.231222690410944,10,230
2010.02709,2015,Qwen/Qwen2.5-0.5B,273,1,7,2.564102564102564,0,3.108393086472603,22.38504465318754,0.5375304871208124,0.131434541838011,10,365
2010.07565,2015,Qwen/Qwen2.5-0.5B,238,1,15,6.302521008403361,0,2.881089388793583,17.83369042372365,0.9998599244769036,0.2258169423420315,13,337
2010.12794,2015,Qwen/Qwen2.5-0.5B,212,1,4,1.8867924528301887,0,3.5526823450307377,34.90682416929503,0.8711837549025953,0.1766235680432001,11,244
2010.13063,2015,Qwen/Qwen2.5-0.5B,181,1,2,1.1049723756906076,0,2.895514206659226,18.092802489246434,0.6087525467614494,0.1689588606480412,7,210
2010.16115,2015,Qwen/Qwen2.5-0.5B,279,1,7,2.508960573476702,0,3.494653256233596,32.93886462665373,0.7923548125265679,0.1629352744402819,14,381
